genre_name,preview_url,preview_track,color,top_pixel,left_pixel,font_size
rock,https://p.scdn.co/mp3-preview/c5efbed38649f0676181dc6bb6e3c8644925726e,"Black Sabbath ""Paranoid - 2012 - Remaster""","rgb(172, 113, 25)",11552,563,141
urbano latino,https://p.scdn.co/mp3-preview/486bdd86843f0ac2f401859e84ba9b5472d115cb,"Darell ""Lollipop""","rgb(189, 144, 2)",3456,1170,136
rap,https://p.scdn.co/mp3-preview/6a8b8a604866070283a65bc021cb51330555e9c7,"Gucci Mane ""Wake Up in the Sky""","rgb(167, 138, 3)",5866,1068,144
pop,https://p.scdn.co/mp3-preview/17fa164b977074dd1b1869bfb10b08cfd513e53b,"Demi Lovato ""Heart Attack""","rgb(173, 137, 7)",4997,783,160
hip hop,https://p.scdn.co/mp3-preview/f27225424bca80900ee9a32f4a494c900a012200,"Nas ""N.Y. State of Mind""","rgb(172, 127, 8)",6854,1086,135
trap latino,https://p.scdn.co/mp3-preview/51d496e8d53059179863411b06ed2431ca2be92a,"Alex Rose ""Toda - Remix""","rgb(188, 145, 1)",3723,1182,134
reggaeton,https://p.scdn.co/mp3-preview/3c1278cf0eb6aba0f72552a3aa469dfed37d8e75,"Zion ""More""","rgb(192, 143, 2)",3087,1173,131
dance pop,https://p.scdn.co/mp3-preview/6de2791f84c1d637a0e24734b6df3997cc742da4,"Britney Spears ""Toxic""","rgb(183, 132, 11)",3478,862,131
pop rap,https://p.scdn.co/mp3-preview/d34545f442d5a3861c61afd164d7927b00c06531,"Soulja Boy ""Kiss Me Thru The Phone""","rgb(172, 136, 3)",5285,1043,128
modern rock,https://p.scdn.co/mp3-preview/a7a72315d777f4ed078d955238f9db158c915fc1,"Cage The Elephant ""Cigarette Daydreams""","rgb(189, 120, 18)",5689,471,127
pov: indie,https://p.scdn.co/mp3-preview/53c0dac3cd40e29fb0b9b6a22f03879a744f7105,"Cavetown ""Devil Town""","rgb(156, 135, 23)",7866,615,126
musica mexicana,https://p.scdn.co/mp3-preview/77d607329b195dceb8adc4fac811e2456c5ef410,"Voz De Mando ""Levantando Polvadera""","rgb(152, 143, 4)",13121,986,126
latin pop,https://p.scdn.co/mp3-preview/3829c17a7890155b43266bc3097cdddd8099a511,"La Quinta Estacion ""El Sol No Regresa""","rgb(174, 138, 3)",6316,826,126
classic rock,https://p.scdn.co/mp3-preview/6c1f5377ae30c65577835dce021c23bcf198591f,"Steppenwolf ""Born To Be Wild""","rgb(154, 121, 23)",13282,646,125
filmi,https://p.scdn.co/mp3-preview/2fae1d6e0e7a0c6ffdeb22472b8df6ddc9cef296,"Kavita Krishnamurthy ""Koi Mil Gaya""","rgb(139, 135, 25)",15070,772,124
permanent wave,https://p.scdn.co/mp3-preview/03da0b85c9fa2fb5e621e97d4fb145a17aaf7ef1,"Pixies ""Where Is My Mind? - Remastered""","rgb(171, 121, 31)",8984,488,124
trap,https://p.scdn.co/mp3-preview/1e15f2d4ac12c4f851604da51d13eccc5db47cef,"Rich Homie Quan ""Flex (Ooh, Ooh, Ooh)""","rgb(163, 143, 2)",5478,1064,124
alternative metal,https://p.scdn.co/mp3-preview/5efe16cd96fbb2c320332c1ba8f120909db22d21,"Drowning Pool ""Bodies""","rgb(214, 92, 35)",6864,306,124
k-pop,https://p.scdn.co/mp3-preview/33e5ec94a2f425d6b83a045a760be6bc90bba335,"EXID ""Up & Down""","rgb(186, 132, 20)",5326,777,123
r&b,https://p.scdn.co/mp3-preview/6527596393b3ea9d71d6e58b9f08c67fe69eac9e,"Xscape ""Who Can I Run To""","rgb(153, 139, 5)",6238,919,123
corrido,https://p.scdn.co/mp3-preview/cdb979187e3efd6a89c8cd8d3688f5818d8adb48,"Código FN ""Mood Malandro""","rgb(162, 139, 1)",13324,1062,122
canadian pop,https://p.scdn.co/mp3-preview/be044054206fc8cfabbcf3689f5cbbba32aabf76,"Shawn Desman ""Electric""","rgb(152, 138, 5)",9390,646,122
norteno,https://p.scdn.co/mp3-preview/5de4dbcb2385cecb5cb6f73d8f85438f956ff897,"Los Huracanes del Norte ""El Gato De Chihuahua""","rgb(152, 142, 3)",12859,1021,122
sierreno,https://p.scdn.co/mp3-preview/3c714f7761f69f05e01a9ef084e6f31d2f4a643d,"Hijos De Barron ""Y Si Se Quiere Ir""","rgb(159, 141, 1)",13402,1032,121
album rock,https://p.scdn.co/mp3-preview/4e8704349932ecb754e3c03cdf3b1563309627a0,"Boston ""More Than a Feeling""","rgb(174, 113, 25)",10880,490,121
soft rock,https://p.scdn.co/mp3-preview/0408c4e5f1d51b6b605429205342fde6930d96ea,"Kenny Loggins ""Footloose""","rgb(151, 128, 15)",10613,630,121
pop dance,https://p.scdn.co/mp3-preview/1164c378d1a70ec8cfa42a28dc108503e8f62768,"Alesso ""Words (feat. Zara Larsson)""","rgb(202, 129, 54)",2608,779,121
sad sierreno,https://p.scdn.co/mp3-preview/6b696210aaae9dd245c0a6c0adc6e9dd8afee523,"Nivel ""Adueñarme""","rgb(154, 145, 1)",13185,1005,121
edm,https://p.scdn.co/mp3-preview/89dff34e3b51bd0aaa6c3910debda6476fe66e4a,"Sebastian Ingrosso ""Reload - Radio Edit""","rgb(202, 128, 61)",2647,767,121
hard rock,https://p.scdn.co/mp3-preview/ad97ce828e504498e211b6525c5ccee86642786b,"Blue Öyster Cult ""(Don't Fear) The Reaper""","rgb(194, 98, 32)",10110,368,120
contemporary country,https://p.scdn.co/mp3-preview/3587df4ee9fd89943486a6b3ee7d0bb7c19bfb35,"Lee Brice ""One Of Them Girls""","rgb(165, 136, 1)",6852,554,120
mellow gold,https://p.scdn.co/mp3-preview/64de489763e2f6f83f1ea86152f322656fc494b6,"Carly Simon ""You're So Vain""","rgb(142, 130, 14)",12672,621,119
uk pop,https://p.scdn.co/mp3-preview/28f56f19466d4fd09f4e791e0f40bd694c5c6cf9,"Griff ""Vertigo""","rgb(152, 145, 4)",8311,760,119
melodic rap,https://p.scdn.co/mp3-preview/5375749526c97f47a4dd645ca575a107c3423c13,"Rich The Kid ""Plug Walk""","rgb(151, 156, 2)",4726,1060,119
modern bollywood,https://p.scdn.co/mp3-preview/330e51578b83cabf38fdffb11d7308bc86bad29a,"Amaal Mallik ""Soch Na Sake""","rgb(166, 131, 8)",8901,783,119
alternative rock,https://p.scdn.co/mp3-preview/eca519f0a85862d9510d57d59df557081d375e3a,"The White Stripes ""Seven Nation Army""","rgb(184, 109, 51)",9647,416,118
banda,https://p.scdn.co/mp3-preview/a9da152ba095773913e1826bfd19c78609b43496,"Banda Clave Nueva ""Cuál Adiós""","rgb(153, 142, 6)",11092,994,118
post-grunge,https://p.scdn.co/mp3-preview/6056f92c7dcd49c7abfa4fd5454772861b2e17ba,"Seether ""Fake It""","rgb(204, 108, 15)",5075,372,118
corridos tumbados,https://p.scdn.co/mp3-preview/737e02df2101ae364cdc908c68f50bc56ebdd633,"Esteban Gabriel ""Piel de Seda""","rgb(162, 143, 1)",13363,1009,118
sertanejo universitario,https://p.scdn.co/mp3-preview/f9a68036db8f21cf87fe8f129c4cc1d53ca91eb5,"João Bosco & Vinicius ""Fim da Noite - Ao Vivo""","rgb(190, 132, 1)",8841,832,118
nu metal,https://p.scdn.co/mp3-preview/902dacc92715211e588270b1f4e62fd3681e218e,"Mudvayne ""Happy?""","rgb(215, 94, 32)",5839,335,118
country,https://p.scdn.co/mp3-preview/327c020067dc3208aed124191674a27741179c52,"John Michael Montgomery ""Sold (The Grundy County Auction Incident)""","rgb(123, 141, 8)",12934,729,118
art pop,https://p.scdn.co/mp3-preview/559376c76e6833bf834b2cd49190be0c1531a456,"Julia Holter ""Sun Girl""","rgb(140, 139, 59)",9611,599,117
atl hip hop,https://p.scdn.co/mp3-preview/be360a507094a10639c1da4d1e8da31514d744dc,"Lil Jon & The East Side Boyz ""Get Low""","rgb(162, 142, 4)",4354,1062,117
urban contemporary,https://p.scdn.co/mp3-preview/6ff0fdd232b5d0434f1e30f1a86c47a3890c83aa,"Sisqo ""Thong Song""","rgb(158, 135, 7)",5618,937,117
sertanejo,https://p.scdn.co/mp3-preview/d7a71a211a5adbb009cb3d11c22c26d7b35e692c,"Rionegro & Solimões ""Chorando e Dançando""","rgb(179, 136, 0)",9856,808,117
southern hip hop,https://p.scdn.co/mp3-preview/2eb13d7dbfa77401e19d5950eac8cd3c02b76ffe,"JUVENILE ""Back That Azz Up""","rgb(168, 138, 2)",5426,1055,116
singer-songwriter,https://p.scdn.co/mp3-preview/6a17ed2e1ee8d45a933c4a86dd268ba8f12299a4,"Paul Simon ""You Can Call Me Al""","rgb(123, 136, 19)",14451,670,116
reggaeton colombiano,https://p.scdn.co/mp3-preview/c68c8081615f6d3ddca71be0871ae32c29cb074b,"Andy Rivera ""Alguien Me Gusta""","rgb(185, 146, 1)",3653,1159,116
arrocha,https://p.scdn.co/mp3-preview/125d70024c88bb1bf45666f6396dc21a181c416e,"Israel & Rodolffo ""Seu Brilho Sumiu - Ao Vivo""","rgb(187, 141, 0)",8462,961,116
french hip hop,https://p.scdn.co/mp3-preview/58d86b35819bf30c3cd3779b590511b3f672edd2,"Heuss L'enfoiré ""Saiyan""","rgb(174, 136, 5)",10918,1073,116
colombian pop,https://p.scdn.co/mp3-preview/421b190bc8aceef3ab60ae23839d3fb0d3d58366,"Fonseca ""Te Mando Flores""","rgb(180, 141, 1)",4479,1009,115
alt z,https://p.scdn.co/mp3-preview/dd93e63fb8dc92be561a59c12da03a281629cfef,"FLETCHER ""Bitter""","rgb(137, 149, 3)",8689,834,115
country road,https://p.scdn.co/mp3-preview/63867b119633ebf0164c0790a426c8bb3a6a006d,"Randy Houser ""Note to Self""","rgb(158, 137, 2)",7385,563,115
mexican pop,https://p.scdn.co/mp3-preview/414dd8f21e6f6d66345182fadc84ecb2f75d63db,"OV7 ""Shabadabada""","rgb(177, 136, 4)",5348,797,115
canadian hip hop,https://p.scdn.co/mp3-preview/cbf610556381f840a007e22c3464c49101f0e41c,"Puffy L'z ""Have It""","rgb(156, 143, 6)",8790,1026,115
j-pop,https://p.scdn.co/mp3-preview/32272361f0a4765efd6f50ee68873065bd447998,"Sukima Switch ""奏(かなで)""","rgb(187, 123, 21)",5268,519,115
indonesian pop,https://p.scdn.co/mp3-preview/1ea7ef6bda7fc8f4510440e442102bb912695aad,"Jaz ""Bersamamu""","rgb(143, 145, 9)",9650,568,115
singer-songwriter pop,https://p.scdn.co/mp3-preview/c36c954550003bcc96a355cbd2edfdd3069ad08f,"elijah woods ""24/7, 365""","rgb(137, 150, 3)",9101,813,115
ranchera,https://p.scdn.co/mp3-preview/c854bfb4703a1edc834234811c4d89119b6ae116,"Lucha Villa ""No Discutamos""","rgb(118, 149, 7)",14637,834,115
new wave pop,https://p.scdn.co/mp3-preview/14bab659cdd73644ed4dbe48409c370fd1b587a9,"Belinda Carlisle ""Heaven Is A Place On Earth - Promo 7"" Edit""","rgb(171, 125, 20)",5552,705,115
indietronica,https://p.scdn.co/mp3-preview/5f13f4fe96ec9766dfcf0ea5b977190245502a4b,"Phantogram ""Black Out Days""","rgb(167, 135, 71)",5143,677,115
german hip hop,https://p.scdn.co/mp3-preview/fde79b7f740702c6e292119e6ece55764b247d5d,"Jamule ""Liege wieder wach""","rgb(166, 142, 18)",9579,1070,115
pop urbaine,https://p.scdn.co/mp3-preview/d1f8288c1c6a5b26d3cbcb31c1718837757d88e1,"Niro ""Qui sait ? (feat. ElGrandeToto)""","rgb(171, 144, 3)",9076,1092,115
rock en espanol,https://p.scdn.co/mp3-preview/1687c34f87c13a2c8f76e7608e065218527fa295,"Maldita Vecindad Y Los Hijos Del 5to. Patio ""Kumbala""","rgb(182, 128, 13)",5172,739,115
latin alternative,https://p.scdn.co/mp3-preview/0c11ad00229b2e9a03c0c9b1bfbdbfd34ac4f0c4,"Aterciopelados ""Bolero Falaz""","rgb(177, 130, 18)",5892,765,115
gangster rap,https://p.scdn.co/mp3-preview/b97f4269cab242c0dd5721c5ba1a515f538fcb59,"Scarface ""Smile""","rgb(176, 125, 4)",6148,1103,114
soul,https://p.scdn.co/mp3-preview/b7d1edc8d69475f33a6025d4746bb02b04df4adc,"Curtis Mayfield ""Move On Up""","rgb(105, 135, 22)",16511,832,114
k-pop boy group,https://p.scdn.co/mp3-preview/8142182f260301c7bd47fd24003558307e114e80,"NOIR ""Airplane mode""","rgb(199, 124, 17)",4033,741,114
latin arena pop,https://p.scdn.co/mp3-preview/ea659448ef6ed8bccfcb444246e1057ddfc41a9c,"Río Roma ""Tú Me Gustas""","rgb(175, 136, 3)",6358,686,114
chicago rap,https://p.scdn.co/mp3-preview/5e37e03c759ee2aecb93090018eb90aa9e2efb3d,"Edai ""War""","rgb(165, 141, 8)",6791,1011,114
italian pop,https://p.scdn.co/mp3-preview/28765fd9281f1c6ae3b1163a53f8c4564eb8fff2,"Takagi & Ketra ""EVERYDAY (feat. Shiva, ANNA, Geolier)""","rgb(162, 139, 6)",9338,751,114
heartland rock,https://p.scdn.co/mp3-preview/b03b592db51b8b06e0b04b538630912849195a14,"John Mellencamp ""Jack & Diane""","rgb(161, 122, 16)",11956,540,114
k-pop girl group,https://p.scdn.co/mp3-preview/f31c5d3f900f3ce6a17768be01511f3bb6f88ce4,"FAVORITE ""Loca""","rgb(201, 130, 22)",3066,895,114
agronejo,https://p.scdn.co/mp3-preview/ecec95d36df4a884d48cf9a9bf3435105c36dde1,"Léo & Raphael ""Yellowstone - Ao Vivo""","rgb(199, 132, 0)",8501,847,113
modern country pop,https://p.scdn.co/mp3-preview/edec90019e2f14e4d9725ca680c572780061c930,"Warren Zeiders ""Pretty Little Poison""","rgb(153, 144, 0)",8297,533,113
electro house,https://p.scdn.co/mp3-preview/105556269db8065f39f5d17b348475f8bb19051b,"Laidback Luke ""Whistle (feat. Bertie Scott)""","rgb(208, 124, 79)",2180,839,113
latin hip hop,https://p.scdn.co/mp3-preview/da63a8ebe906550c058431a03e5cb0f31b3b839a,"Tito ""El Bambino"" ""Mi Cama Huele a Ti""","rgb(198, 134, 3)",3185,1153,113
canadian contemporary r&b,https://p.scdn.co/mp3-preview/0c441d7b02032c2ef15cd36d5ee1ce4ad1139e5d,"Savannah Ré ""Last One""","rgb(134, 151, 24)",9481,795,113
pop punk,https://p.scdn.co/mp3-preview/36b8ec978ad11bb619615356c1c3b11dfeb12dd8,"New Found Glory ""My Friends Over You""","rgb(209, 105, 8)",4549,327,113
neo mellow,https://p.scdn.co/mp3-preview/c1b502bb0df9f6392a788ef786bf7cb14b9bf070,"Matt Nathanson ""Come On Get Higher""","rgb(144, 142, 6)",10411,568,113
pop rock,https://p.scdn.co/mp3-preview/30e2a899a94a089d5c341b782b00aa802fd87610,"The Goo Goo Dolls ""Iris""","rgb(177, 128, 7)",6766,469,113
latin rock,https://p.scdn.co/mp3-preview/a5c1c6d54c02805228618fb5cf7496b6475086c9,"Los Fabulosos Cadillacs ""Vasos Vacíos - Remasterizado 2008""","rgb(178, 130, 18)",5289,711,113
punjabi pop,https://p.scdn.co/mp3-preview/93cc3918af0eb3406033007cb17425c11c232df7,"Jordan Sandhu ""Tareefan""","rgb(189, 132, 5)",10481,1005,113
rap metal,https://p.scdn.co/mp3-preview/63ad5c729897a9e7c044d1868f569d49e9be05c0,"Sevendust ""Denial""","rgb(217, 93, 24)",5651,433,113
trap argentino,https://p.scdn.co/mp3-preview/f2c1a85ee07437b3f29905e5975608608de617c6,"Bhavi ""AEROBICO REMIX""","rgb(156, 151, 7)",6336,1103,113
new romantic,https://p.scdn.co/mp3-preview/e17625c0d5ffe9165cec52e953f6175c7b1b5420,"Thompson Twins ""Hold Me Now""","rgb(179, 121, 28)",4646,689,113
new wave,https://p.scdn.co/mp3-preview/37e6049e5c604a5a0b0c0c5ef68208f72e0fed38,"The Human League ""Don't You Want Me""","rgb(184, 116, 33)",5140,607,113
uk dance,https://p.scdn.co/mp3-preview/d156060faa3d61d5fa3ea817f7ebc4008a954549,"Nathan Dawe ""21 Reasons (feat. Ella Henderson)""","rgb(199, 132, 47)",2202,947,113
slap house,https://p.scdn.co/mp3-preview/2c4b983548830cd246d4a10a451a1c1f2fb25efa,"VINAI ""Rise Up (feat. Vamero)""","rgb(204, 130, 50)",2352,868,113
modern alternative rock,https://p.scdn.co/mp3-preview/19089162cd7d61e5cc80fbc1623332df0c59baa3,"Nothing But Thieves ""Overcome""","rgb(190, 119, 19)",5114,443,112
indie pop,https://p.scdn.co/mp3-preview/24014ce72466a645baf03cee71fb065bfffef740,"Phoebe Bridgers ""Motion Sickness""","rgb(129, 147, 30)",11292,573,112
indie rock,https://p.scdn.co/mp3-preview/85280509156c3f6ba4f72d9c25f455f72e9f8240,"Grizzly Bear ""Two Weeks""","rgb(161, 130, 58)",9921,469,112
house,https://p.scdn.co/mp3-preview/81e1063337ea616b86a2b74f559af056f0c36fd5,"MK ""Rhyme Dust""","rgb(203, 128, 108)",1379,1108,112
conscious hip hop,https://p.scdn.co/mp3-preview/74e3a56842f5000be3a9f26a27e37ac90dcf7363,"Mos Def ""Ms. Fat Booty""","rgb(176, 120, 12)",10057,1041,112
modern country rock,https://p.scdn.co/mp3-preview/ff703a1976b763fb8a31305765a650e299c6c603,"Kip Moore ""Somethin' 'Bout A Truck""","rgb(177, 132, 1)",5468,530,112
east coast hip hop,https://p.scdn.co/mp3-preview/cea4658190b7d2e1ea6d960db419f18e65e9a2e7,"Kool G Rap ""Fast Life (with Nas)""","rgb(180, 113, 14)",7975,1112,112
folk rock,https://p.scdn.co/mp3-preview/53ab746c37c717c20f793598064b7f720877b646,"Buffalo Springfield ""For What It's Worth""","rgb(127, 134, 14)",14550,650,112
metal,https://p.scdn.co/mp3-preview/2121bedf135b44a9f49cce6f4c8b003959c16826,"King Diamond ""Abigail - Reissue""","rgb(220, 78, 60)",8923,214,112
turkish pop,https://p.scdn.co/mp3-preview/0402af5596e6ca5b7a9dbedc81b0621e2fbd13d4,"Burcu Güneş ""Anıları Yak""","rgb(162, 136, 11)",7681,744,112
bedroom pop,https://p.scdn.co/mp3-preview/8b7ebeab31351c105a4136630edc77238cfb2959,"Jakob ""You Might Be Sleeping""","rgb(128, 148, 36)",9805,716,112
desi pop,https://p.scdn.co/mp3-preview/adc1a73cffab5e6edea79f5a481257068f929f46,"Sachet Tandon ""Malang Sajna""","rgb(155, 148, 7)",9243,813,112
italian hip hop,https://p.scdn.co/mp3-preview/de40bf03511289536ab80dcf98587bad99079a28,"Izi ""Chic""","rgb(179, 138, 6)",8939,973,112
hoerspiel,https://p.scdn.co/mp3-preview/bf6f16f3fd476f2bdc730f533a2ccb98f5c69a5a,"Die Originale ""076 - Die Bremer Stadtmusikanten - Teil 01""","rgb(94, 103, 0)",16131,1325,112
afrobeats,https://p.scdn.co/mp3-preview/d9b97825d2fd155ef58cc5d3693b6e3b09ca8b42,"Ice Prince ""KOLO (feat. Oxlade)""","rgb(184, 136, 6)",8601,1066,112
adult standards,https://p.scdn.co/mp3-preview/5d608551226ae776c0f90d719b0efc6486368b7b,"Perry Como ""Papa Loves Mambo""","rgb(80, 143, 27)",18832,700,112
post-teen pop,https://p.scdn.co/mp3-preview/5c12459078663a786a28fc43ad3dd306f6bf6bc5,"Jesse McCartney ""Beautiful Soul""","rgb(177, 134, 4)",4676,711,112
neo soul,https://p.scdn.co/mp3-preview/426cd317745626f2b0f3acd09f32bc986363084e,"Angie Stone ""Wish I Didn't Miss You""","rgb(124, 138, 13)",13763,772,111
sped up,https://p.scdn.co/mp3-preview/05956518dbeace260858a0d29f13c006381dcb25,"sped up nightcore ""SPIT IN MY FACE! (ThxSoMch) - Sped Up Version""","rgb(152, 147, 54)",5314,864,111
cloud rap,https://p.scdn.co/mp3-preview/a0e1301cc3d01afc3d523742ce76fe53cc82a5bf,"Cold Hart ""Me and You""","rgb(125, 147, 40)",8664,866,111
